source_summary,created_at,template,model,agent_runner,agent_context,noise_level,max_turns,agent_timeout,result_records,build_succeeded,build_failed,build_incomplete,agent_evaluated,agent_succeeded,objective_succeeded
data/guide_ablation/decoy_ablation_high/summary.json,2026-07-24T18:01:47.669681+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,high,300,3600,8,8,0,0,8,5,5
data/guide_ablation/decoy_ablation_l1_high_lockfail/summary.json,2026-07-25T06:32:12.424646+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,high,300,3600,8,0,8,0,0,0,0
data/guide_ablation/decoy_ablation_l1_low/summary.json,2026-07-25T09:09:27.122551+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,low,300,3600,8,3,0,5,7,1,1
data/guide_ablation/decoy_ablation_l1_low_lockfail/summary.json,2026-07-25T06:30:20.151602+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,low,300,3600,8,0,8,0,0,0,0
data/guide_ablation/decoy_ablation_l1_medium_lockfail/summary.json,2026-07-25T06:31:14.993512+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,medium,300,3600,8,0,8,0,0,0,0
data/guide_ablation/decoy_ablation_l1_none/summary.json,2026-07-25T08:33:37.781362+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,none,300,3600,8,8,0,0,8,3,3
data/guide_ablation/decoy_ablation_l1_none_gateway_test/summary.json,2026-07-25T06:49:10.131228+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,none,300,3600,8,3,0,5,3,0,0
data/guide_ablation/decoy_ablation_l1_none_lockfail/summary.json,2026-07-25T06:29:32.689350+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,none,300,3600,8,0,8,0,0,0,0
data/guide_ablation/decoy_ablation_low/summary.json,2026-07-24T15:47:35.421657+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,low,300,3600,8,8,0,0,8,3,5
data/guide_ablation/decoy_ablation_medium/summary.json,2026-07-24T17:07:27.511626+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,medium,300,3600,8,8,0,0,8,2,3
data/guide_ablation/decoy_ablation_none/summary.json,2026-07-24T14:55:15.659627+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,3600,8,8,0,0,8,3,4
data/guide_ablation/decoy_agent_parallel8_deepseek_none/decoy_ablation_l2_none/summary.json,2026-07-26T14:51:04.878135+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,900,2,2,0,0,2,2,2
data/guide_ablation/decoy_agent_parallel8_deepseek_smoke8/decoy_ablation_l2_high/summary.json,2026-07-26T16:29:48.890658+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,high,300,3600,3,2,1,0,2,2,2
data/guide_ablation/decoy_agent_parallel8_deepseek_smoke8/decoy_ablation_l2_none/summary.json,2026-07-26T16:06:12.315425+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,3600,8,8,0,0,8,4,5
data/guide_ablation/decoy_agent_parallel8_none/decoy_ablation_l2_none/summary.json,2026-07-26T14:32:38.937111+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,none,300,900,8,8,0,0,8,0,0
data/guide_ablation/decoy_contract_high_env_smoke/summary.json,2026-07-26T13:02:18.796604+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,high,80,1800,1,0,1,0,0,0,0
data/guide_ablation/decoy_contract_high_env_smoke_batch8/summary.json,2026-07-26T14:01:01.227906+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,high,80,1800,8,7,0,1,0,0,0
data/guide_ablation/decoy_contract_high_env_smoke_last_retry/summary.json,2026-07-26T14:06:02.388832+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,high,80,1800,1,1,0,0,0,0,0
data/guide_ablation/decoy_contract_high_env_smoke_v2/summary.json,2026-07-26T13:07:56.652128+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,high,80,1800,1,0,1,0,0,0,0
data/guide_ablation/decoy_contract_high_env_smoke_v3/summary.json,2026-07-26T13:13:04.471701+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,high,80,1800,1,1,0,0,0,0,0
data/guide_ablation/decoy_contract_high_parallel8_smoke/summary.json,2026-07-26T14:23:03.693343+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,high,80,1800,8,8,0,0,0,0,0
data/guide_ablation/decoy_contract_none_env_smoke/summary.json,2026-07-26T13:39:34.494819+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,guided,none,80,1800,8,8,0,0,0,0,0
data/guide_ablation/decoy_l1_deepseek_50_high/summary.json,2026-07-27T05:32:50.327780+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,high,300,3600,50,40,0,10,40,1,1
data/guide_ablation/decoy_l1_deepseek_50_none/summary.json,2026-07-26T22:06:49.051133+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,none,300,3600,50,50,0,0,50,1,1
data/guide_ablation/decoy_l1_deepseek_high/decoy_ablation_l1_high/summary.json,2026-07-26T10:46:48.564242+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,high,500,3600,8,8,0,0,8,1,1
data/guide_ablation/decoy_l1_deepseek_none/decoy_ablation_l1_none/summary.json,2026-07-26T10:13:15.649127+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,none,500,3600,8,8,0,0,8,2,2
data/guide_ablation/decoy_l1_kimi_v4/decoy_ablation_l1_high/summary.json,2026-07-25T20:15:20.100244+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,high,300,3600,8,2,0,6,5,0,0
data/guide_ablation/decoy_l1_kimi_v4/decoy_ablation_l1_medium/summary.json,2026-07-25T19:33:11.727715+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,medium,300,3600,8,8,0,0,8,4,5
data/guide_ablation/decoy_l1_kimi_v5_high/decoy_ablation_l2_high/summary.json,2026-07-26T07:09:36.447387+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l2,high,300,3600,0,0,0,0,0,0,0
data/guide_ablation/decoy_l1_kimi_v5_high_corrected/decoy_ablation_l1_high/summary.json,2026-07-26T08:08:28.839273+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,high,300,3600,8,2,0,6,2,1,1
data/guide_ablation/decoy_l1_matched_high_agent8/summary.json,2026-07-27T07:08:20.541563+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,matched-high,500,7200,0,0,0,0,0,0,0
data/guide_ablation/decoy_l1_matched_high_agent8_300/summary.json,2026-07-27T07:33:46.176307+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,matched-high,300,3600,8,7,1,0,7,0,0
data/guide_ablation/decoy_l1_matched_high_deepseek_agent8_300/summary.json,2026-07-27T09:08:01.524766+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,matched-high,300,3600,8,8,0,0,8,0,0
data/guide_ablation/decoy_l1_matched_high_env8/summary.json,2026-07-27T07:06:24.419880+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,matched-high,500,7200,8,7,1,0,0,0,0
data/guide_ablation/decoy_l1_matched_high_preflight8/summary.json,2026-07-27T06:46:41.465056+00:00,enterprise_3tier,unknown_not_recorded,unknown_not_recorded,l1,matched-high,80,1800,8,0,0,8,0,0,0
