Name,CVE,Description,Reference,Path,Type,Role,Runtime_lang,Startup
1panel,CVE-2024-39907,1Panel Control Panel PostAuth SQL Injection,https://github.com/projectdiscovery/nuclei-templates/blob/main/http/cves/2024/CVE-2024-39907.yaml; https://github.com/1Panel-dev/1Panel/security/advisories/GHSA-5grx-v727-qmq6; https://hub.docker.com/r/moelin/1panel,source/vulhub/1panel/CVE-2024-39907,SQL Injection,Data,Go/Binary,docker compose up
activemq,CVE-2015-5254,Apache ActiveMQ Deserialization,https://www.blackhat.com/docs/us-16/materials/us-16-Kaiser-Pwning-Your-Java-Messaging-With-Deserialization-Vulnerabilities.pdf,source/vulhub/activemq/CVE-2015-5254,"Deserialization, RCE, Message Queue",Jump_host,Java,docker compose up
activemq,CVE-2016-3088,Apache ActiveMQ Arbitrary File Write,N/A,source/vulhub/activemq/CVE-2016-3088,"File Upload, RCE, Message Queue",Jump_host,Java,docker compose up
activemq,CVE-2022-41678,Apache ActiveMQ Jolokia Authenticated Remote Code Execution,https://activemq.apache.org/security-advisories.data/CVE-2022-41678-announcement.txt; https://l3yx.github.io/2023/11/29/Apache-ActiveMQ-Jolokia-%E8%BF%9C%E7%A8%8B%E4%BB%A3%E7%A0%81%E6%89%A7%E8%A1%8C%E6%BC%8F%E6%B4%9E-CVE-2022-41678-%E5%88%86%E6%9E%90/,source/vulhub/activemq/CVE-2022-41678,"RCE, Message Queue",Jump_host,Java,docker compose up
activemq,CVE-2023-46604,Apache ActiveMQ OpenWire Protocol Deserialization RCE,https://activemq.apache.org/news/cve-2023-46604; https://xz.aliyun.com/t/12929; https://boogipop.com/2023/11/03/Apache%20ActiveMQ%20CVE-2023-46604%20RCE%20%E5%88%86%E6%9E%90/; https://forum.butian.net/share/2566,source/vulhub/activemq/CVE-2023-46604,"RCE, Deserialization, Message Queue",Jump_host,Java,docker compose up
adminer,CVE-2021-21311,Adminer Server-side Request Forgery on Error Page of Elasticsearch and ClickHouse,https://github.com/vrana/adminer/security/advisories/GHSA-x5r2-hj5c-8jx6; https://github.com/vrana/adminer/files/5957311/Adminer.SSRF.pdf; https://github.com/projectdiscovery/nuclei-templates/blob/main/http/cves/2021/CVE-2021-21311.yaml,source/vulhub/adminer/CVE-2021-21311,"SSRF, Database",Data,PHP,docker compose up
adminer,CVE-2021-43008,Adminer Remote Arbitrary File Read,https://github.com/p0dalirius/CVE-2021-43008-AdminerRead; http://sansec.io/research/adminer-4.6.2-file-disclosure-vulnerability,source/vulhub/adminer/CVE-2021-43008,Path Traversal,Data,PHP,docker compose up
airflow,CVE-2020-11978,Apache Airflow Command Injection,https://lists.apache.org/thread/cn57zwylxsnzjyjztwqxpmly0x9q5ljx; https://github.com/pberba/CVE-2020-11978,source/vulhub/airflow/CVE-2020-11978,RCE,Jump_host,Python,docker compose up
airflow,CVE-2020-11981,Apache Airflow Celery Message Middleware Command Execution,https://lists.apache.org/thread/cn57zwylxsnzjyjztwqxpmly0x9q5ljx; https://github.com/apache/airflow/pull/9178,source/vulhub/airflow/CVE-2020-11981,RCE,Jump_host,Python,docker compose up
airflow,CVE-2020-17526,Apache Airflow Permission Bypass,https://lists.apache.org/thread/rxn1y1f9fco3w983vk80ps6l32rzm6t0; https://kloudle.com/academy/authentication-bypass-in-apache-airflow-cve-2020-17526-and-aws-cloud-platform-compromise,source/vulhub/airflow/CVE-2020-17526,Auth Bypass,Data,Python,docker compose up
apache-cxf,CVE-2024-28752,Apache CXF Aegis DataBinding Server-Side Request Forgery,https://github.com/advisories/GHSA-qmgx-j96g-4428; https://nvd.nist.gov/vuln/detail/CVE-2024-28752; https://github.com/ReaJason/CVE-2024-28752,source/vulhub/apache-cxf/CVE-2024-28752,SSRF,Data,Unknown-Web,docker compose up
apache-druid,CVE-2021-25646,Apache Druid Embedded Javascript Remote Code Execution,https://blogs.juniper.net/en-us/threat-research/cve-2021-25646-apache-druid-embedded-javascript-remote-code-execution; https://mp.weixin.qq.com/s/McAoLfyf_tgFIfGTAoRCiw,source/vulhub/apache-druid/CVE-2021-25646,RCE,Jump_host,Unknown-Web,docker compose up
apisix,CVE-2020-13945,Apache APISIX Hardcoded API Token Leads to RCE,https://apisix.apache.org/docs/apisix/getting-started; https://github.com/apache/apisix/pull/2244; https://seclists.org/oss-sec/2020/q4/187,source/vulhub/apisix/CVE-2020-13945,"RCE, Hard Coding, Webserver",Jump_host,Go/Binary,docker compose up
apisix,CVE-2021-45232,Apache APISIX Dashboard API Permission Bypass to RCE,https://apisix.apache.org/blog/2021/12/28/dashboard-cve-2021-45232/; https://github.com/wuppp/cve-2021-45232-exp,source/vulhub/apisix/CVE-2021-45232,"RCE, Auth Bypass, Webserver",Jump_host,Go/Binary,docker compose up
appweb,CVE-2018-8715,AppWeb Authentication Bypass,https://ssd-disclosure.com/index.php/archives/3676,source/vulhub/appweb/CVE-2018-8715,"Auth Bypass, Webserver",Data,Unknown-Web,docker compose up
bash,CVE-2014-6271,Bash Shellshock Remote Command Injection,N/A,source/vulhub/bash/CVE-2014-6271,RCE,Jump_host,Shell,docker compose up
cacti,CVE-2022-46169,Cacti remote_agent.php Pre-Auth Command Injection,https://github.com/Cacti/cacti/security/advisories/GHSA-6p93-p743-35gf; https://mp.weixin.qq.com/s/6crwl8ggMkiHdeTtTApv3A,source/vulhub/cacti/CVE-2022-46169,RCE,Jump_host,PHP,docker compose up
cacti,"CVE-2023-39361, CVE-2024-31459",Cacti graph_view.php SQL Injection Leads to RCE,https://github.com/Cacti/cacti/security/advisories/GHSA-6r43-q2fw-5wrg; https://github.com/Cacti/cacti/security/advisories/GHSA-cx8g-hvq8-p2rv,source/vulhub/cacti/CVE-2023-39361,"SQL Injection, RCE",Jump_host,PHP,docker compose up
cacti,CVE-2025-24367,Cacti RRDTool Post-Auth Argument Injection Leads to RCE,https://github.com/Cacti/cacti/security/advisories/GHSA-fxrq-fr7h-9rqq; https://github.com/Cacti/cacti/commit/c7e4ee798d263a3209ae6e7ba182c7b65284d8f0,source/vulhub/cacti/CVE-2025-24367,RCE,Jump_host,PHP,docker compose up
cgi,CVE-2016-5385,CGI Application Environment Variable Injection by HTTPoxy,N/A,source/vulhub/cgi/CVE-2016-5385,Environment Injection,Jump_host,Shell,docker compose up
cmsms,CVE-2019-9053,CMS Made Simple (CMSMS) < 2.2.10 Unauthenticated SQL Injection,https://www.exploit-db.com/exploits/46635; https://srcincite.io/pocs/cve-2021-26120.py.txt,source/vulhub/cmsms/CVE-2019-9053,SQL Injection,Data,Unknown-Web,docker compose up
cmsms,"CVE-2019-9053, CVE-2021-26120",CMS Made Simple (CMSMS) Unauthenticated Remote Code Execution,https://srcincite.io/pocs/cve-2021-26120.py.txt; https://www.exploit-db.com/exploits/46635,source/vulhub/cmsms/CVE-2021-26120,RCE,Jump_host,Unknown-Web,docker compose up
coldfusion,CVE-2010-2861,Adobe ColdFusion File Read,N/A,source/vulhub/coldfusion/CVE-2010-2861,"Path Traversal, Webserver",Data,Unknown-Web,docker compose up
coldfusion,CVE-2017-3066,Adobe ColdFusion Deserialization,https://codewhitesec.blogspot.com.au/2018/03/exploiting-adobe-coldfusion.html; https://www.exploit-db.com/exploits/43993; https://github.com/codewhitesec/ColdFusionPwn,source/vulhub/coldfusion/CVE-2017-3066,"Deserialization, RCE, Webserver",Jump_host,Unknown-Web,docker compose up
coldfusion,CVE-2023-26360,Adobe ColdFusion Local File Inclusion Leads to RCE,https://xz.aliyun.com/t/13392,source/vulhub/coldfusion/CVE-2023-26360,"RCE, Path Traversal, Webserver",Jump_host,Unknown-Web,docker compose up
coldfusion,CVE-2023-29300,Adobe ColdFusion XML Deserialization Leads to RCE,https://blog.projectdiscovery.io/adobe-coldfusion-rce/; https://xz.aliyun.com/t/13413,source/vulhub/coldfusion/CVE-2023-29300,"RCE, Deserialization, Webserver",Jump_host,Unknown-Web,docker compose up
confluence,CVE-2019-3396,Atlassian Confluence Path Traversal Leads to RCE,https://paper.seebug.org/884/; https://jira.atlassian.com/browse/CONFSERVER-57974,source/vulhub/confluence/CVE-2019-3396,"RCE, Path Traversal",Jump_host,Java,docker compose up
confluence,CVE-2021-26084,Atlassian Confluence Webwork Pre-Auth OGNL Injection Leads to RCE,N/A,source/vulhub/confluence/CVE-2021-26084,"RCE, Expression Injection",Jump_host,Java,docker compose up
confluence,CVE-2022-26134,Atlassian Confluence Pre-Auth Remote Code Execution via OGNL Injection,https://confluence.atlassian.com/doc/confluence-security-advisory-2022-06-02-1130377146.html; https://attackerkb.com/topics/BH1D56ZEhs/cve-2022-26134/rapid7-analysis,source/vulhub/confluence/CVE-2022-26134,"RCE, Expression Injection",Jump_host,Java,docker compose up
confluence,CVE-2023-22515,Atlassian Confluence Access Control Broken by Attributes Overwrite,https://confluence.atlassian.com/security/cve-2023-22515-privilege-escalation-vulnerability-in-confluence-data-center-and-server-1295682276.html; https://attackerkb.com/topics/Q5f0ItSzw5/cve-2023-22515/rapid7-analysis,source/vulhub/confluence/CVE-2023-22515,Auth Bypass,Data,Java,docker compose up
confluence,CVE-2023-22527,Atlassian Confluence Pre-Auth Remote Code Execution via OGNL Injection,https://confluence.atlassian.com/security/cve-2023-22527-rce-remote-code-execution-vulnerability-in-confluence-data-center-and-confluence-server-1333990257.html; https://blog.projectdiscovery.io/atlassian-confluence-ssti-remote-code-execution/,source/vulhub/confluence/CVE-2023-22527,"RCE, Expression Injection",Jump_host,Java,docker compose up
couchdb,CVE-2017-12635,CouchDB Vertical Permission Bypass,N/A,source/vulhub/couchdb/CVE-2017-12635,"Auth Bypass, Database",Data,Database,docker compose up
couchdb,CVE-2017-12636,CouchDB Arbitrary Command Execution,N/A,source/vulhub/couchdb/CVE-2017-12636,"RCE, Database",Data,Database,docker compose up
couchdb,CVE-2022-24706,CouchDB Erlang Distributed Protocol Code Execution,https://docs.couchdb.org/en/3.2.2-docs/cve/2022-24706.html; https://insinuator.net/2017/10/erlang-distribution-rce-and-a-cookie-bruteforcer/; https://github.com/rapid7/metasploit-framework/blob/master//modules/exploits/multi/misc/erlang_cookie_rce.rb; https://github.com/sadshade/CVE-2022-24706-CouchDB-Exploit,source/vulhub/couchdb/CVE-2022-24706,"RCE, Database",Data,Database,docker compose up
craftcms,CVE-2023-41892,CraftCMS ConditionsController Pre-Auth Remote Code Execution,https://github.com/craftcms/cms/security/advisories/GHSA-4w8r-3xrw-v25g; https://blog.calif.io/p/craftcms-rce; https://swarm.ptsecurity.com/exploiting-arbitrary-object-instantiations/,source/vulhub/craftcms/CVE-2023-41892,"RCE, CMS",Jump_host,PHP,docker compose up
craftcms,CVE-2024-56145,CraftCMS register_argc_argv Leads to Remote Code Execution,https://github.com/craftcms/cms/security/advisories/GHSA-2p6p-9rc9-62j9; https://www.assetnote.io/resources/research/how-an-obscure-php-footgun-led-to-rce-in-craft-cms,source/vulhub/craftcms/CVE-2024-56145,"RCE, CMS",Jump_host,PHP,docker compose up
craftcms,CVE-2025-32432,CraftCMS Yii Class Injection Remote Code Execution,https://craftcms.com/knowledge-base/craft-cms-cve-2025-32432; https://www.opswat.com/blog/cve-2025-32432-unauthenticated-remote-code-execution-in-craft-cms; https://github.com/CTY-Research-1/CVE-2025-32432-PoC,source/vulhub/craftcms/CVE-2025-32432,"RCE, CMS",Jump_host,PHP,docker compose up
cups-browsed,CVE-2024-47177,OpenPrinting Cups-Browsed Remote Code Execution via The FoomaticRIPCommandLine PPD parameter,https://www.evilsocket.net/2024/09/26/Attacking-UNIX-systems-via-CUPS-Part-I/; https://github.com/OpenPrinting/cups-browsed/security/advisories/GHSA-rj88-6mr5-rcw8,source/vulhub/cups-browsed/CVE-2024-47177,RCE,Data,Library/Tool,docker compose up
django,CVE-2017-12794,Django 500 Debug Page Cross-Site Scripting (XSS),https://www.djangoproject.com/weblog/2017/sep/05/security-releases/; https://nvd.nist.gov/vuln/detail/CVE-2017-12794; https://www.leavesongs.com/PENETRATION/django-debug-page-xss.html,source/vulhub/django/CVE-2017-12794,"XSS, Framework",Data,Python,docker compose up
django,CVE-2018-14574,Django < 2.0.8 Open Redirect in CommonMiddleware,https://www.djangoproject.com/weblog/2018/aug/01/security-releases/; https://nvd.nist.gov/vuln/detail/CVE-2018-14574,source/vulhub/django/CVE-2018-14574,Framework,Data,Python,docker compose up
django,CVE-2019-14234,Django JSONField/HStoreField SQL Injection,https://www.djangoproject.com/weblog/2019/aug/01/security-releases/; https://www.leavesongs.com/PENETRATION/django-jsonfield-cve-2019-14234.html,source/vulhub/django/CVE-2019-14234,"SQL Injection, Framework",Data,Python,docker compose up
django,CVE-2020-9402,Django GIS functions and aggregates on Oracle SQL Injection,https://www.djangoproject.com/weblog/2020/mar/04/security-releases/,source/vulhub/django/CVE-2020-9402,"SQL Injection, Framework",Data,Python,docker compose up
django,CVE-2021-35042,Django QuerySet.order_by() SQL Injection,https://www.djangoproject.com/weblog/2021/jul/01/security-releases/,source/vulhub/django/CVE-2021-35042,"SQL Injection, Framework",Data,Python,docker compose up
